system_id,word,ner
16.0,第三,ORDINAL
16.0,國道電動車充電站,FAC
16.0,第三,ORDINAL
16.0,今年三月份,DATE
16.0,九月前,DATE
16.0,高公局,ORG
16.0,年前,DATE
16.0,三,CARDINAL
16.0,第期,ORDINAL
16.0,中興電工,ORG
16.0,東山,LOC
16.0,四,CARDINAL
16.0,前年九月,DATE
16.0,西螺北上加油站案,EVENT
16.0,特爾電力快充站,FAC
16.0,第二,ORDINAL
16.0,蘇澳泰安,FAC
16.0,關西仁德,GPE
16.0,六,CARDINAL
16.0,去年,DATE
16.0,中興電工,ORG
16.0,今年底之前,DATE
16.0,第三,ORDINAL
16.0,三月,DATE
16.0,東草屯休息站,FAC
16.0,三號,CARDINAL
16.0,前夕,TIME
16.0,高公局,ORG
16.0,七,CARDINAL
16.0,第三,ORDINAL
16.0,二,CARDINAL
16.0,高公局,ORG
16.0,高公局,ORG
16.0,第三,ORDINAL
16.0,高公局,ORG
16.0,二,CARDINAL
16.0,中壢,GPE
16.0,石碇西螺古坑,GPE
16.0,新營服務區,FAC
16.0,第三,ORDINAL
16.0,二,CARDINAL
16.0,今年底,DATE
16.0,三月,DATE
16.0,第三,ORDINAL
208.0,特斯拉,ORG
208.0,月底,DATE
240.0,索尼鴻海高通蘋果,PRODUCT
240.0,小米,ORG
240.0,索尼鴻海輝達高通蘋果,ORG
240.0,谷歌,ORG
240.0,索尼,ORG
240.0,本田,ORG
240.0,三年後,DATE
240.0,高通,ORG
240.0,鴻海,ORG
240.0,鴻海,ORG
240.0,中國,GPE
240.0,華為,ORG
240.0,中國,GPE
240.0,科技公司,ORG
240.0,特斯拉,ORG
240.0,特斯拉,ORG
240.0,蔚來,PERSON
240.0,小鵬,PERSON
240.0,中國,GPE
240.0,八年,DATE
240.0,蘋果公司,ORG
240.0,谷歌,ORG
240.0,富豪雷諾,ORG
240.0,通用,ORG
240.0,索尼鴻海輝達高通,ORG
240.0,谷歌,ORG
240.0,小米,ORG
240.0,冬季,DATE
240.0,兩,CARDINAL
386.0,竹北,GPE
386.0,莊敬六路,FAC
386.0,昨日,DATE
386.0,特斯拉當,GPE
386.0,昨晚,TIME
386.0,昨日中午,TIME
386.0,昨天,DATE
386.0,特斯拉,ORG
386.0,台北，特斯拉總公司,ORG
386.0,個多月,DATE
386.0,多萬,CARDINAL
386.0,三,CARDINAL
386.0,昨晚,TIME
386.0,昨天,DATE
386.0,昨天,DATE
507.0,富邦,ORG
526.0,本月,DATE
526.0,萬元,MONEY
596.0,亞馬遜,ORG
596.0,歐洲,LOC
596.0,美國,GPE
596.0,亞馬遜,ORG
596.0,歐洲,LOC
596.0,美國,GPE
596.0,未來幾週,DATE
596.0,慕尼黑柏林,GPE
596.0,杜塞爾多夫,GPE
596.0,亞馬遜,ORG
596.0,歐洲,LOC
596.0,數千,CARDINAL
596.0,德國,GPE
596.0,台,GPE
596.0,去年,DATE
596.0,億歐元,MONEY
596.0,歐洲,LOC
596.0,亞馬遜,ORG
596.0,ä,PERSON
596.0,亞馬遜,ORG
596.0,年之前,DATE
596.0,去年,DATE
596.0,德國,GPE
596.0,萬,CARDINAL
596.0,亞馬遜,ORG
596.0,去年夏季,DATE
596.0,美國,GPE
596.0,台,GPE
596.0,亞馬遜,ORG
596.0,年之前,DATE
596.0,亞馬遜,ORG
596.0,去年,DATE
596.0,歐洲,LOC
596.0,電動車新創公司,ORG
596.0,德國賓士,ORG
596.0,歐洲,LOC
596.0,幾個月後,DATE
596.0,歐洲,LOC
596.0,兩,CARDINAL
596.0,亞馬遜,ORG
596.0,亞馬遜,PERSON
596.0,歐洲,LOC
596.0,加利福尼亞州爾灣,GPE
596.0,美國,GPE
596.0,特斯拉公司,ORG
596.0,佼者,PERSON
596.0,伊利諾伊州諾馬爾市,GPE
596.0,唯裝配廠,ORG
596.0,兩,CARDINAL
650.0,美,GPE
650.0,特斯拉,ORG
650.0,美國,GPE
650.0,日,GPE
650.0,特斯拉,ORG
650.0,千美元,MONEY
650.0,美國,GPE
650.0,幾年,DATE
650.0,美國,GPE
650.0,中國,GPE
650.0,韓國,GPE
650.0,日本,GPE
650.0,臺灣,GPE
650.0,今年,DATE
650.0,去年,DATE
650.0,兩,CARDINAL
650.0,同天,DATE
650.0,臺幣萬元,MONEY
650.0,臺灣,GPE
922.0,第三,ORDINAL
922.0,台積電,ORG
922.0,日本,GPE
922.0,熊本,GPE
922.0,德國廠,ORG
922.0,台積電,ORG
922.0,台,GPE
922.0,台積電,ORG
922.0,台積電,ORG
922.0,台積電二線晶圓代工廠,ORG
922.0,台積電,ORG
922.0,德國,GPE
922.0,台積電,ORG
922.0,聯電,ORG
922.0,聯電,ORG
922.0,微晶片科技,ORG
922.0,三成,CARDINAL
922.0,德微,PERSON
922.0,虹冠電,ORG
922.0,歐,LOC
922.0,美,GPE
922.0,日,GPE
922.0,中,GPE
922.0,聯發科,ORG
922.0,百億美元,MONEY
922.0,聯發科,ORG
922.0,昱,PERSON
922.0,歐系,ORG
922.0,陸系,ORG
922.0,韓,GPE
922.0,瑞昱,ORG
922.0,日月光投控,ORG
922.0,台系封測廠,ORG
922.0,台廠,ORG
954.0,高雄市,GPE
954.0,高雄市苓雅區,GPE
954.0,台北市,GPE
954.0,台北市松山區,LOC
954.0,特斯拉,ORG
954.0,特斯拉,ORG
954.0,◎歲以上,DATE
954.0,年~月,DATE
954.0,賓士,ORG
954.0,台,GPE
954.0,即日,DATE
954.0,至月,DATE
1010.0,特斯拉,ORG
1010.0,聯合報,ORG
1010.0,曾增勳,PERSON
1010.0,桃園,GPE
1010.0,桃園市,GPE
1010.0,大成路棟透天厝,FAC
1010.0,昨天,DATE
1010.0,馬路,GPE
1010.0,特斯拉,GPE
1010.0,台電桃園區營業處,ORG
1010.0,今天,DATE
1010.0,下午,TIME
1010.0,楊梅大成路,FAC
1010.0,三,CARDINAL
1010.0,特斯拉,ORG
1010.0,二,CARDINAL
1010.0,陽台,ORG
1010.0,特斯拉,ORG
1010.0,台灣,GPE
1010.0,特斯拉,ORG
1010.0,楊梅,GPE
1010.0,陽台,GPE
1010.0,特斯拉,ORG
1010.0,特斯拉,ORG
1010.0,楊梅,GPE
1010.0,陳,PERSON
1010.0,二,CARDINAL
1010.0,楊梅,GPE
1010.0,特斯拉,ORG
1010.0,第次,ORDINAL
1010.0,二,CARDINAL
1211.0,特斯拉,ORG
1211.0,亞迪蔚,PERSON
1211.0,小鵬,PERSON
1211.0,中國,GPE
1211.0,中國,NORP
1211.0,特斯拉,ORG
1211.0,中國,GPE
1211.0,歐洲,LOC
1211.0,比亞迪,ORG
1211.0,歐洲,LOC
1211.0,中國,GPE
1211.0,日本,GPE
1211.0,歐洲,LOC
1317.0,特斯拉柏林廠,ORG
1379.0,歐洲,LOC
1379.0,歐盟,ORG
1379.0,英國,GPE
1379.0,冰島列支敦斯登挪威,PERSON
1379.0,瑞士,GPE
1379.0,歐洲,LOC
1379.0,萬,CARDINAL
1379.0,歐洲,LOC
1379.0,德國,GPE
1379.0,萬,CARDINAL
1379.0,歐洲,LOC
1379.0,德國,NORP
1379.0,歐洲,LOC
1379.0,五,CARDINAL
1379.0,德國,GPE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第名,ORDINAL
1379.0,德國,GPE
1379.0,歐洲,LOC
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,德國,NORP
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第次,ORDINAL
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第次,ORDINAL
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,約四年前,DATE
1379.0,萬,CARDINAL
1379.0,諸葛,PERSON
1379.0,歐洲,LOC
1379.0,三五年內,DATE
1379.0,義大利,GPE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,萬,CARDINAL
1379.0,保時捷,PRODUCT
1379.0,歐洲,LOC
1379.0,台灣,GPE
1379.0,台灣,GPE
1379.0,歐洲人,NORP
1379.0,歐洲,LOC
1379.0,萬台,CARDINAL
1379.0,歐洲,LOC
1379.0,兩,CARDINAL
1379.0,歐洲,LOC
1379.0,兩,CARDINAL
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第三,ORDINAL
1379.0,雷諾,ORG
1379.0,兩年,DATE
1379.0,歐洲,LOC
1379.0,兩年,DATE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,十,CARDINAL
1379.0,兩年,DATE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,西班牙,GPE
1379.0,萬,CARDINAL
1379.0,歐洲,LOC
1407.0,趙小蘭,PERSON
1407.0,特斯拉墜池塘,ORG
1407.0,劉哲琪,PERSON
1407.0,美國,GPE
1407.0,運輸部長,ORG
1407.0,趙小蘭,PERSON
1407.0,趙安吉,PERSON
1407.0,圖達志,PERSON
1407.0,美國,GPE
1407.0,運輸部長,ORG
1407.0,趙小蘭,PERSON
1407.0,福茂集團,ORG
1407.0,趙安吉,PERSON
1407.0,享年歲,DATE
1407.0,趙安吉,PERSON
1407.0,輛特斯拉,GPE
1407.0,德州,GPE
1407.0,紐約郵報,ORG
1407.0,趙氏,PERSON
1407.0,月日,DATE
1407.0,趙安吉,PERSON
1407.0,德州奧斯汀,GPE
1407.0,德州布蘭科縣,GPE
1407.0,趙安吉,PERSON
1407.0,日,GPE
1407.0,詹森城,GPE
1407.0,華爾街日報,ORG
1407.0,近日,DATE
1407.0,趙安吉,PERSON
1407.0,月日,DATE
1407.0,哈佛商學院,ORG
1407.0,德州,GPE
1407.0,座私人莊園,FAC
1407.0,周末,DATE
1407.0,晚間,TIME
1407.0,春節,DATE
1407.0,兩,CARDINAL
1407.0,特斯拉,GPE
1407.0,幾分鐘,TIME
1407.0,趙安吉,PERSON
1407.0,分鐘,TIME
1407.0,特斯拉,ORG
1407.0,特斯拉,ORG
1407.0,兩,CARDINAL
1407.0,趙安吉,PERSON
1407.0,凌晨點分,TIME
1407.0,趙安吉,PERSON
1407.0,趙安吉,PERSON
1407.0,布蘭,PERSON
1407.0,月日,DATE
1407.0,德州,GPE
1407.0,帕克斯頓,PERSON
1407.0,交通部長,ORG
1407.0,二,CARDINAL
1485.0,中國,NORP
1485.0,納智捷,ORG
1485.0,中國,GPE
1485.0,嚴凱泰,PERSON
1485.0,伊朗,GPE
1485.0,比特斯拉,PERSON
1511.0,特斯拉,ORG
1511.0,特斯拉,ORG
1539.0,馬誼郎,PERSON
1539.0,路透社,ORG
1539.0,特斯拉,ORG
1539.0,中國,GPE
